7,4,3,WangW (廢文Wang),[問卦] 到底怎樣和洋人相處？,Sat Nov  6 21:53:22 2021
0,0,0,www17010 (魯貓),[問卦] 每日記事本,Sat Nov  6 21:34:33 2021
7,2,5,james13112 (空洞),[問卦] 高速公路哪裡高速了,Sun Nov  7 07:34:40 2021
1,8,-7,kevin184550 (kevin184550),[問卦] LOL版重返榮耀,Sun Nov  7 01:12:49 2021
1,0,1,a36991069 (charming),[問卦] 用過洋洋洗髮精的都幾歲了,Sat Nov  6 23:12:09 2021
3,0,3,yangzy (亞瑟),[問卦] 疫苗一定要有期限嗎？,Sun Nov  7 00:06:23 2021
6,5,1,AgentSkye56 (大安周渝民),[問卦] 為啥小開不接受酒店妹,Sat Nov  6 21:10:15 2021
38,4,34,ray90910 (Blackbird),[問卦] 百貨公司低樓層改設男性商品會怎樣？,Sat Nov  6 22:41:52 2021
13,2,11,zxc881230 (神槍手打手槍神),[問卦] 阿嬤買的衣服太小件 要怎麼委婉的說,Sun Nov  7 08:31:05 2021
32,2,30,xpradax (燈一明一滅地 雨倏忽而至),[問卦] 智齒要在口外拔還是診所牙醫拔？,Sun Nov  7 00:28:06 2021
136,18,118,Bastille (巴士底),Re,Sat Nov  6 21:00:09 2021
2,1,1,mark999jrpan (安份坐在自己位子 ),Re,Sat Nov  6 21:30:28 2021
1,7,-6,redDest (紅紅),[問卦] 男學妹：沒有考古題的學姊比狗還不如,Sun Nov  7 01:03:13 2021
15,14,1,hbk20491 (〥夢中情一場夢〥),[新聞] 醫師娘撞翻機車肇逃 酒測值1.55 因2個小,Sat Nov  6 21:12:30 2021
6,2,4,sdamel (=ˇ=我今天看到的癒合程s),[問卦] 為什麼台男的短褲這麼長,Sat Nov  6 21:20:31 2021
15,4,11,pauljet (拜登哥不要),[問卦] 將軍百戰身名裂？,Sat Nov  6 21:57:29 2021
38,7,31,arsonlolita (蘿莉塔大魔王←男的勿約),[公告] 血流成河 水桶,Sun Nov  7 00:47:00 2021
7,1,6,slovea (廢物文組傳產學徒),[問卦] 賀！打到喬該怎麼慶祝,Sun Nov  7 00:17:51 2021
3,11,-8,agonist5566 (agonist5566),Re,Sun Nov  7 00:35:29 2021
